镜号,景别,时长,画面内容,音效,旁白 / 台词
1,远景,4s,残阳下，破败的大观园朱漆大门斑驳脱漆，门环锈迹斑斑，暮年贾宝玉身着素色僧袍，孑然一身立在门前，抬眼望向门内,萧瑟风声,【旁白】一别经年，我又回到了这大观园
2,中近景,3s,宝玉抬手，指尖触到冰冷的门环，缓缓推开沉重的大门，门轴发出刺耳的吱呀声响,门轴吱呀声，风声持续,无
3,中景,4s,宝玉缓步走入，脚下是积了厚厚落叶的甬道，行至沁芳闸石桥边，目光落在桥边斑驳的石刻上,落叶踩踏声，残溪流水声,【旁白】当年这园子里的一亭一榭，皆是我亲手题的匾额
4,闪回・近景,5s,淡入少年宝玉鲜衣怒马的模样，立于石桥上提笔落墨，快速切过「沁芳」「有凤来仪」「怡红快绿」的手写字特写，身后贾政与清客颔首，廊下黛玉、宝钗等姐妹掩口轻笑,毛笔落纸声，少年笑语声,无
5,现实・特写,4s,切回当下，宝玉枯瘦的指尖，轻轻抚过石刻上模糊的「沁芳」二字，指腹蹭过斑驳的石面,风声持续,无
6,闪回・蒙太奇 1,4s,潇湘馆内，湘帘垂地，竹影婆娑，少年黛玉正教紫鹃调教鹦鹉念诗，少年宝玉倚在门边，眉眼带笑望着,鹦鹉学舌声，黛玉轻笑声,【旁白】那时候，处处都是姐妹们的笑语
7,闪回・蒙太奇 2,4s,怡红院内，红香绿玉，群芳夜宴，姑娘们围坐行酒令，湘云醉卧芍药裀的碎片闪过，宝玉举杯笑着应和,杯盏碰撞声，众人欢笑声,无
8,闪回・蒙太奇 3,4s,蘅芜苑内，异草芬芳，宝钗垂眸与莺儿一同编竹篮，少年宝玉递过一枝新开的茉莉，宝钗抬眼浅笑,竹条弯折声，轻柔笑语声,无
9,闪回・蒙太奇 4,4s,稻香村内，桑麻遍野，李纨带着迎春、惜春在案前作画，少年宝玉凑在一旁指着画纸说笑，众人笑作一团,笔尖摩挲纸声，软语欢笑声,无
10,现实・全景,5s,猛地切回当下，宝玉站在荒草没膝的怡红院旧址，雕梁朽坏，窗棂尽碎，满院只剩断壁残垣，再无半分当年盛景,风声陡然变大，寒鸦鸣叫声,【旁白】如今亭台犹在，却只剩满目荒芜
11,近景,5s,宝玉站在原地，眼尾泛红，眸光里满是怅惘，抬手想抓住什么，指尖却只接住一片被风吹来的枯叶,风声放缓,无
12,特写,4s,那片枯叶，从宝玉枯瘦的指缝间缓缓飘落，坠向满地荒草,极轻的落叶声,【旁白】才知这半生繁华，不过是大梦一场
13,远景,5s,残阳如血，宝玉孑然转身，缓步走出大观园，沉重的大门在他身后缓缓合上，将满院荒芜与前尘旧梦一同关在门内，他的背影渐渐融进暮色里,大门闭合的闷响，风声渐弱,【旁白】梦醒了，也该走了
